Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo,,,,31-03-2025 11:30:17,31-03-2025 11:30:18,1.269s,ERROR
,,,,,,,
Test Cases/Sign Up New UserPage/C699_SignUpNewUserPage,,Verify that the Next button on the 'Not Verified Thank You' page is clickable,,31-03-2025 11:30:17,31-03-2025 11:30:17,0.041s,ERROR
"testData = findTestData(""Data Files/LogiNewUsers"")",,"Retrieve test data from the ""C699"" data file",,31-03-2025 11:30:17,31-03-2025 11:30:17,0.004s,ERROR
,,,,,,,
Test Cases/Sign Up New UserPage/C698-C696_SignUpNewUserPage,,"Verify that the confirmation email is received after agreeing to the Terms and Conditions
Verify that outdated verification links cannot be used",,31-03-2025 11:30:18,31-03-2025 11:30:18,0.052s,ERROR
"testData = findTestData(""Data Files/LogiNewUser"")",,"Initializes testData by finding the test data file located at ""Data Files""",,31-03-2025 11:30:18,31-03-2025 11:30:18,0.016s,PASSED
"email = testData.getValue(""email"", 2)",,"Retrieves the value of the ""email"" field from the first row of the test data and assigns it to the variable email.",,31-03-2025 11:30:18,31-03-2025 11:30:18,0.000s,PASSED
"firstName = testData.getValue(""firstname"", 2)",,"Retrieves the value of the ""firstname"" field from the first row of the test data and assigns it to the variable firstName.",,31-03-2025 11:30:18,31-03-2025 11:30:18,0.000s,PASSED
"lastName = testData.getValue(""lastname"", 2)",,"Retrieves the value of the ""lastname"" field from the first row of the test data and assigns it to the variable lastName.",,31-03-2025 11:30:18,31-03-2025 11:30:18,0.001s,PASSED
"password = testData.getValue(""password"", 2)",,"Retrieves the value of the ""password"" field from the first row of the test data and assigns it to the variable password.",,31-03-2025 11:30:18,31-03-2025 11:30:18,0.000s,PASSED
"confirmPassword = testData.getValue(""confirmpassword"", 2)",,"Retrieves the value of the ""confirmpassword"" field from the first row of the test data and assigns it to the variable confirmPassword.",,31-03-2025 11:30:18,31-03-2025 11:30:18,0.003s,ERROR
